Potential applied (V),Fitted WE(1).δ.Current,Corrected WE(1).δ.Current (A)
1.275939941,4.54039E-07,3.68109E-06
1.280975342,5.03144E-07,4.37967E-06
1.286010742,5.52249E-07,5.18506E-06
1.291046143,6.01179E-07,6.03945E-06
1.296081543,6.50109E-07,6.95792E-06
1.301116943,6.9885E-07,7.90711E-06
1.306152344,7.4759E-07,8.91428E-06
1.311187744,7.96127E-07,9.92775E-06
1.316223145,8.44663E-07,1.09534E-05
1.321258545,8.92983E-07,1.19458E-05
1.326293945,9.41302E-07,1.29381E-05
1.331329346,9.89391E-07,1.38116E-05
1.336364746,1.03748E-06,1.46211E-05
1.341400146,1.08533E-06,1.53087E-05
1.346435547,1.13318E-06,1.59078E-05
1.351470947,1.18077E-06,1.64126E-05
1.356506348,1.22836E-06,1.68197E-05
1.361541748,1.27569E-06,1.7102E-05
1.366577148,1.32303E-06,1.73141E-05
1.371612549,1.37008E-06,1.74593E-05
1.376647949,1.41714E-06,1.75221E-05
1.38168335,1.46392E-06,1.7576E-05
1.38671875,1.5107E-06,1.74743E-05
1.39175415,1.55718E-06,1.7083E-05
1.396789551,1.60367E-06,1.65848E-05
1.401824951,1.64987E-06,1.60381E-05
1.406860352,1.69606E-06,1.54457E-05
1.411895752,1.74195E-06,1.48749E-05
1.416931152,1.78785E-06,1.43651E-05
1.421966553,1.83344E-06,1.3877E-05
1.427001953,1.87902E-06,1.34011E-05
1.432037354,1.92431E-06,1.28676E-05
1.437072754,1.96959E-06,1.21356E-05
1.442108154,2.01456E-06,1.11477E-05
1.447143555,2.05953E-06,9.92778E-06
1.452178955,2.10419E-06,8.59222E-06
1.457214355,2.14885E-06,7.29634E-06
1.462249756,2.19319E-06,6.16557E-06
1.467285156,2.23754E-06,5.26368E-06
1.472320557,2.28158E-06,4.63371E-06
1.477355957,2.32561E-06,4.30586E-06
1.482391357,2.36934E-06,4.22551E-06
1.487426758,2.41307E-06,4.31911E-06
1.492462158,2.45649E-06,4.6541E-06
1.497497559,2.49991E-06,5.11727E-06
1.502532959,2.54304E-06,5.74249E-06
1.507568359,2.58616E-06,6.42263E-06
1.51260376,2.62898E-06,7.12444E-06
1.51763916,2.6718E-06,7.84455E-06
